"Местное время в Ульяновске / Центральном (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.10.2022 13:00";"2.3";"751.0";"";"";"73";"Ветер, дующий с севера";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2022 10:00";"2.7";"750.0";"";"";"72";"Ветер, дующий с севера";"3";"";"";"20–30%.";" ";"";"";"-1.4";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2022 07:00";"0.7";"750.0";"";"";"83";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"0.6";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"21.10.2022 04:00";"3.4";"749.0";"";"";"91";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.10.2022 01:00";"4.9";"749.0";"";"";"89";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2022 22:00";"5.2";"749.0";"";"";"88";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2022 19:00";"5.4";"749.0";"";"";"83";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"7.5";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"20.10.2022 16:00";"6.8";"748.0";"";"";"78";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2022 13:00";"7.0";"748.0";"";"";"81";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2022 10:00";"3.5";"748.0";"";"";"98";"Штиль, безветрие";"0";"";"";"100%.";"Туман или ледяной туман. ";"";"";"3.2";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";
"20.10.2022 07:00";"5.0";"746.0";"";"";"97";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"5.0";"";"";"";"";"";"";"10.0";"";"1.0";"12";"";"";"";"";
"20.10.2022 04:00";"5.4";"745.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.10.2022 01:00";"5.6";"745.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2022 22:00";"5.6";"744.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2022 19:00";"6.1";"744.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"";"8.3";"";"";"";"";"";"10.0";"";"5.0";"12";"";"";"";"";
"19.10.2022 16:00";"7.2";"744.0";"";"";"91";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2022 13:00";"8.1";"745.0";"";"";"73";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2022 10:00";"7.5";"746.0";"";"";"85";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2022 07:00";"7.2";"745.0";"";"";"87";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";" ";"";"";"6.7";"";"";"";"";"";"";"10.0";"";"3.0";"12";"";"";"";"";
"19.10.2022 04:00";"8.8";"744.0";"";"";"83";"Ветер, дующий с северо-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.10.2022 01:00";"10.4";"742.0";"";"";"93";"Ветер, дующий с запада";"7";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2022 22:00";"6.9";"745.0";"";"";"95";"Ветер, дующий с юга";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2022 19:00";"7.9";"749.0";"";"";"84";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"11.0";"";"";"";"";"";"10.0";"";"0.3";"12";"";"";"";"";
"18.10.2022 16:00";"9.6";"751.0";"";"";"67";"Ветер, дующий с юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2022 13:00";"10.3";"753.0";"";"";"65";"Ветер, дующий с запада";"7";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2022 10:00";"8.3";"754.0";"";"";"76";"Ветер, дующий с запада";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2022 07:00";"6.7";"754.0";"";"";"81";"Ветер, дующий с запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"5.9";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"18.10.2022 04:00";"6.8";"755.0";"";"";"75";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.10.2022 01:00";"6.4";"757.0";"";"";"72";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2022 22:00";"6.0";"758.0";"";"";"68";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2022 19:00";"7.1";"760.0";"";"";"63";"Ветер, дующий с юго-запада";"2";"";"";"60%.";" ";"";"";"";"12.5";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"17.10.2022 16:00";"11.2";"761.0";"";"";"46";"Ветер, дующий с юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2022 13:00";"11.5";"763.0";"";"";"46";"Ветер, дующий с запада";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2022 10:00";"7.6";"764.0";"";"";"69";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2022 07:00";"2.1";"764.0";"";"";"91";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"-0.8";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"17.10.2022 04:00";"2.2";"764.0";"";"";"88";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.10.2022 01:00";"-0.4";"764.0";"";"";"93";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2022 22:00";"1.0";"763.0";"";"";"86";"Ветер, дующий с юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2022 19:00";"4.8";"763.0";"";"";"68";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"10.8";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"16.10.2022 16:00";"10.3";"763.0";"";"";"44";"Ветер, дующий с севера";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2022 13:00";"10.0";"763.0";"";"";"51";"Ветер, дующий с северо-запада";"4";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2022 10:00";"1.7";"763.0";"";"";"87";"Ветер, дующий с юга";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2022 07:00";"-2.5";"762.0";"";"";"95";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"-3.2";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"16.10.2022 04:00";"-2.5";"761.0";"";"";"96";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.10.2022 01:00";"-1.2";"760.0";"";"";"94";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2022 22:00";"0.7";"760.0";"";"";"80";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2022 19:00";"2.9";"759.0";"";"";"73";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"8.0";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"15.10.2022 16:00";"7.7";"758.0";"";"";"54";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2022 13:00";"6.8";"758.0";"";"";"55";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2022 10:00";"4.4";"757.0";"";"";"73";"Ветер, дующий с северо-запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2022 07:00";"0.9";"756.0";"";"";"92";"Ветер, дующий с запада";"4";"";"";"40%.";" ";"";"";"-0.1";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"15.10.2022 04:00";"0.5";"755.0";"";"";"93";"Ветер, дующий с запада";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.10.2022 01:00";"4.6";"755.0";"";"";"76";"Ветер, дующий с северо-запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2022 22:00";"6.0";"754.0";"";"";"74";"Ветер, дующий с северо-запада";"4";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2022 19:00";"5.7";"754.0";"";"";"79";"Ветер, дующий с запада";"4";"";"";"100%.";"Ливневый(ые) дождь(и). ";"";"";"";"8.6";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"14.10.2022 16:00";"7.5";"753.0";"";"";"64";"Ветер, дующий с северо-запада";"6";"";"";"70 – 80%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2022 13:00";"8.3";"752.0";"";"";"67";"Ветер, дующий с северо-запада";"7";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2022 10:00";"6.8";"752.0";"";"";"84";"Ветер, дующий с северо-запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2022 07:00";"5.8";"752.0";"";"";"91";"Ветер, дующий с северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"5.7";"";"";"";"";"";"";"10.0";"";"0.3";"12";"";"";"";"";
"14.10.2022 04:00";"6.3";"752.0";"";"";"92";"Ветер, дующий с северо-запада";"6";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.10.2022 01:00";"6.4";"751.0";"";"";"91";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2022 22:00";"6.9";"751.0";"";"";"86";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2022 19:00";"8.2";"751.0";"";"";"93";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"9.8";"";"";"";"";"";"10.0";"";"5.0";"12";"";"";"";"";
"13.10.2022 16:00";"9.5";"750.0";"";"";"91";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2022 13:00";"9.7";"749.0";"";"";"90";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2022 10:00";"8.5";"750.0";"";"";"96";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"13.10.2022 07:00";"8.0";"749.0";"";"";"96";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"8.0";"";"";"";"";"";"";"4.0";"";"3.0";"12";"";"";"";"";
"13.10.2022 04:00";"8.4";"749.0";"";"";"95";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.10.2022 01:00";"8.5";"749.0";"";"";"95";"Ветер, дующий с севера";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"12.10.2022 22:00";"9.2";"749.0";"";"";"87";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2022 19:00";"9.2";"750.0";"";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"12.5";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"12.10.2022 16:00";"12.3";"749.0";"";"";"66";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2022 13:00";"11.6";"750.0";"";"";"75";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2022 10:00";"9.0";"749.0";"";"";"96";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.10.2022 07:00";"8.0";"749.0";"";"";"97";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"";"";"7.9";"";"";"";"";"";"";"2.0";"";"0.8";"12";"";"";"";"";
"12.10.2022 04:00";"8.0";"749.0";"";"";"94";"Ветер, дующий с востока";"1";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"12.10.2022 01:00";"9.2";"749.0";"";"";"81";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2022 22:00";"9.6";"750.0";"";"";"85";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2022 19:00";"10.4";"751.0";"";"";"82";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"11.5";"";"";"";"";"";"10.0";"";"0.5";"12";"";"";"";"";
"11.10.2022 13:00";"10.6";"752.0";"";"";"75";"Ветер, дующий с востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2022 10:00";"10.2";"753.0";"";"";"76";"Ветер, дующий с востока";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2022 07:00";"9.9";"753.0";"";"";"78";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"";"";"8.7";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"11.10.2022 04:00";"9.2";"754.0";"";"";"88";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.10.2022 01:00";"10.3";"754.0";"";"";"81";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.10.2022 22:00";"10.7";"755.0";"";"";"73";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
